x,y
1,6
2,6
3,10
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,19
13,28
14,37
15,58
16,111
17,168
18,168
19,426
20,532
21,789
22,981
23,1082
24,1211
25,1403
26,1627
27,1823
28,1924
29,1966
30,2302
31,2758
32,3163
33,3368
34,3465
35,3646
36,3747
37,3995
38,4450
39,4965
40,7161
41,7257
42,7466
43,7529
44,7603
45,7858
46,8225
47,8450
48,9022
49,9468
50,10128
51,10398
52,10850
53,11183
54,22719
55,22719
56,22719
57,23240
58,24258
59,24675
60,24934
61,26336
62,27464
63,29538
64,31881
